English Rarity Symbol,English Rarity Name ,Thai/JP Rarity Symbol,Thai/JP Rarity Name
"""Black Circle""",Common,C,Common
"""Black Diamond""",Uncommon,U,Uncommon
"""Black Star""",Rare,R,Rare
"""Two Black Stars"" ",Double Rare,RR,Double Rare
"""Two Silver Stars""",Ultra Rare,SR,Super Rare
"""Gold Star""",Illustration Rare,AR,Art Rare
"""Two Gold Stars""",Special Illustration Rare,SAR,Special Art Rare
"""Three Gold Stars"" ",Hyper Rare,UR,Ultra Rare
,Pokeball reverse holo,PB,Pokeball reverse holo
,Energy reverse holo,EH,energy reverse holo
