id,name,english name,English Set Equilalent,printed_total,total,release_date,logo_url
MA3,วิวัฒนาการเมก้า ดรีมex,Mega Dream Evolution EX,Ascended Heroes,193,486,9/6/2025,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2025/11/th_news_ma3_pkg.png
MA2,อัคคีสีคราม,Azure Fire,Phantasmal Flames ,103,143,11/7/2025,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2025/09/th_news_MA2_pillow_img-1.png
MA1,วัฒนาการเมก้า,Mega Evolution,Mega Evolution,126,184,9/12/2025,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2025/08/th_news_MA1_pillow.png
SV11s,แบล็ก & ไวท์,Black & White,Black Bolt & White Flare,172,348,7/11/2025,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2025/06/th_news_SV11s_pillow.png
SV10s,การผงาดของผู้ไร้พ่าย,Rise of the Invincible,Destined Rivals,138,189,6/13/2025,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2025/05/th_SV10s_pillow_img.png
SV9s,สายใยแห่งโชคชะตา,Bond of Destiny,Journey Together,139,185,4/11/2025,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2025/03/th_news_SV9s_pillow_.png
SV8a,เทศกาลเทรัสตัลex,Terastal Festival ex,Prismatic Evolutions,187,381,8/24/2025,https://asia.pokemon-card.com/th/archive/special/card/sv8a/assets/images/product-image-1.png
SV8s,สเตลลาร์สายฟ้าฟาด,Supercharged Stellar,Stellar Crown,182,0,6/30/2025,https://asia.pokemon-card.com/th/archive/special/card/sv8s/assets/images/product-image-1.png
SV7s,แสงนำทางแห่งสเตลลาร์,Stellar Guidance,Stellar Crown,166,57,8/10/2025,https://asia.pokemon-card.com/th/archive/special/card/sv7s/assets/images/product-image-1.png
SV6,หน้ากากจอมลวงตา,Illisionist's Mask,Twilight Masquerade,101,133,5/1/2024,https://asia.pokemon-card.com/th/archive/special/card/sv6/assets/images/product-image-1.png
SV5a,หมอกสีชาด,Crimson Mist,Twilight Masquerade,66,96,4/1/2024,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2024/03/th_news_SV5a_Booster_pkg.png
SV5M,ตุลาการไซเบอร์,Cyber Judge,Temporal Forces,71,100,2/1/2024,https://asia.pokemon-card.com/th/archive/special/card/sv5/assets/images/product-image-1.png
SV5K,อำนาจอนารยะ,Barbaric Power,Temporal Forces,71,100,2/1/2024,https://asia.pokemon-card.com/th/archive/special/card/sv5/assets/images/product-image-2.png
