th_number,th_name,phash,en_match,price
"001/123","นาโซโนะคุสะ <ของเอริกะ>","d=8","me02.5#001 Erika's Oddish","10 THB (en 0.22USD)"
"002/123","คุไซฮานะ <ของเอริกะ>","d=6","me02.5#002 Erika's Gloom","10 THB (en 0.2USD)"
"003/123","รัฟเฟรเซียex <ของเอริกะ>","d=9","me02.5#003 Erika's Vileplume ex","25.83 THB (en 1.31USD)"
"004/123","มาดาซึโบมิ <ของเอริกะ>","d=7","me02.5#004 Erika's Bellsprout","10 THB (en 0.2USD)"
"005/123","อุซึดง <ของเอริกะ>","d=6","me02.5#005 Erika's Weepinbell","10 THB (en 0.2USD)"
"006/123","อุซึบ็อท <ของเอริกะ>","d=12","me01#030 Centiskorch","10 THB (en 10THB)"
"007/123","มอนจารา <ของเอริกะ>","d=4","me02.5#007 Erika's Tangela","10 THB (en 0.17USD)"
"008/123","จิโคริตา","d=6","me02.5#008 Chikorita","10 THB (en 0.18USD)"
"009/123","เบย์ลีฟ","d=3","me02.5#009 Bayleef","12.22 THB (en 0.62USD)"
"010/123","เมก้าเมกาเนียมex","d=7","me02.5#010 Mega Meganium ex","130.73 THB (en 6.63USD)"
"011/123","อิโตมารุ","d=4","me03#001 Spinarak","10 THB (en 0.13USD)"
"012/123","อาริอาโดส","d=3","me03#002 Ariados","10 THB (en 0.12USD)"
"013/123","เชมิน","d=7","me03#003 Shaymin","10 THB (en 0.07USD)"
"014/123","สึทาจะ","d=2","me03#004 Snivy","10 THB (en 0.08USD)"
"015/123","จาโนวี","d=5","me03#005 Servine","10 THB (en 0.11USD)"
"016/123","จาโลดา","d=8","me03#006 Serperior","10 THB (en 0.11USD)"
"017/123","โคฟูคิมูชิ","d=4","me03#007 Scatterbug","10 THB (en 0.09USD)"
"018/123","โคฟูไร","d=6","me03#008 Spewpa","10 THB (en 0.09USD)"
"019/123","วิวิญอง","d=4","me03#009 Vivillon","10 THB (en 0.14USD)"
"020/123","โมคุโร","d=6","me03#010 Rowlet","10 THB (en 0.11USD)"
"021/123","ฟุคุซึโร","d=2","me03#011 Dartrix","10 THB (en 0.13USD)"
"022/123","จูไนเปอร์ex","d=12","me03#012 Decidueye ex","10 THB (en 0.48USD)"
"023/123","ฮิโตคาเงะ","d=6","me02.5#020 Charmander","10 THB (en 0.36USD)"
"024/123","ลิซาร์โดะ","d=4","me02.5#021 Charmeleon","10 THB (en 0.31USD)"
"025/123","เมก้าลิซาร์ดอน Yex","d=7","me02.5#022 Mega Charizard Y ex","141.57 THB (en 7.18USD)"
"026/123","โพคาบู","d=7","me02.5#029 Tepig","10 THB (en 0.17USD)"
"027/123","จาโอบู","d=5","me02.5#030 Pignite","10 THB (en 0.25USD)"
"028/123","เมก้าเอ็นบูโอex","d=10","me02.5#031 Mega Emboar ex","22.68 THB (en 1.15USD)"
"029/123","ฮิโนยาโคมะ","d=6","me03#013 Fletchinder","10 THB (en 0.09USD)"
"030/123","ไฟร์แอโรว์","d=3","me03#014 Talonflame","10 THB (en 0.13USD)"
"031/123","ยาโทโมริ","d=3","me03#015 Salandit","10 THB (en 0.09USD)"
"032/123","เอ็นนิวท์ex","SKIP d=18","me02#110","Oricorio ex"
"033/123","บาคุกาเมส","d=7","me03#017 Turtonator","10 THB (en 0.08USD)"
"034/123","เพาเวา","d=7","me03#018 Seel","10 THB (en 0.08USD)"
"035/123","จูกอน","d=9","me03#019 Dewgong","10 THB (en 0.14USD)"
"036/123","ฮิโตเดมัน","d=4","me03#020 Staryu","10 THB (en 0.1USD)"
"037/123","เมก้าสตาร์มีex","d=11","me03#021 Mega Starmie ex","20.31 THB (en 1.03USD)"
"038/123","วานิโนโกะ","d=7","me02.5#041 Totodile","10 THB (en 0.18USD)"
"039/123","อัลลิเกต","d=7","me02.5#042 Croconaw","10 THB (en 0.2USD)"
"040/123","เมก้าออไดล์ex","d=8","me02.5#043 Mega Feraligatr ex","91.88 THB (en 4.66USD)"
"041/123","อมารุส","d=5","me03#023 Amaura","10 THB (en 0.19USD)"
"042/123","อมารูรูกา","d=7","me03#024 Aurorus","10 THB (en 0.21USD)"
"043/123","โวลเคเนียน","d=5","me03#025 Volcanion","10 THB (en 0.05USD)"
"044/123","พิคาชู","d=5","me02.5#055 Pikachu","10 THB (en 0.46USD)"
"045/123","ไรชู","d=10","me02.5#056 Raichu","11.63 THB (en 0.59USD)"
"046/123","โคลิงก์","d=4","me03#026 Shinx","10 THB (en 0.07USD)"
"047/123","ลุคซิโอ","d=6","me03#027 Luxio","10 THB (en 0.07USD)"
"048/123","เร็นโทรา","d=8","me03#028 Luxray","10 THB (en 0.16USD)"
"049/123","เดเด็นเนะ","d=11","me03#029 Dedenne","10 THB (en 0.09USD)"
"050/123","ปิปปี","d=6","me03#030 Clefairy","10 THB (en 0.06USD)"
"051/123","เมก้าปิคซีex","SKIP d=14","me03#031","Mega Clefable ex"
"052/123","คูชีท","d=3","me03#032 Mawile","10 THB (en 0.12USD)"
"053/123","เนียสเปอร์","d=7","me03#033 Espurr","10 THB (en 0.07USD)"
"054/123","เนียโอนิกซ์","d=2","me03#034 Meowstic","10 THB (en 0.09USD)"
"055/123","ชูชูป","d=5","me03#035 Spritzee","10 THB (en 0.12USD)"
"056/123","เฟรฟุวัน","d=7","me03#036 Aromatisse","10 THB (en 0.11USD)"
"057/123","เพร็อพพัฟ","d=3","me02.5#093 Swirlix","10 THB (en 0.2USD)"
"058/123","เพโรรีม","d=5","me02.5#094 Slurpuff","10 THB (en 0.2USD)"
"059/123","คาโพเอลาร์","d=9","me02.5#102 Hitmontop","10 THB (en 0.17USD)"
"060/123","โนซพาส","d=8","me03#037 Nosepass","10 THB (en 0.07USD)"
"061/123","ไดโนซ","d=6","me03#038 Probopass","10 THB (en 0.05USD)"
"062/123","กราดอน","d=10","me02.5#108 Groudon","10 THB (en 0.17USD)"
"063/123","ฮิปโปโปตัส","d=4","me03#039 Hippopotas","10 THB (en 0.07USD)"
"064/123","คาบัลดอน","d=4","me03#040 Hippowdon","10 THB (en 0.06USD)"
"065/123","เมก้าเอรูเรโดex","d=6","me04#048 Mega Gallade ex","10.06 THB (en 0.51USD)"
